DATE,Kc,FW_MUESTRA,Falla
2020-01-12 12:00:00,0.1046688,0.1012731,A
2020-01-12 12:40:00,0.1287616,0.1273148,A
2020-01-12 13:20:00,0.1331019,0.1331019,A
2020-01-12 14:20:00,0.1258681,0.1186343,A
2020-01-12 15:00:00,0.1331019,0.1331019,A
2020-01-12 15:20:00,0.09403935,0.1041667,A
2020-01-12 15:40:00,0.1041667,0.1181071,A
2020-01-12 16:00:00,0.114294,0.1041667,A
2020-01-12 16:20:00,0.0954861,0.1041667,A
2020-01-12 16:40:00,0.1359954,0.1302083,A
2020-01-12 17:00:00,0.09693287,0.1070602,A
2020-01-12 17:20:00,0.1339989,0.1277647,A
2020-01-12 17:40:00,0.09569332,0.1041667,A
2020-01-12 18:00:00,0.1359954,0.1331019,A
2020-01-12 18:20:00,0.09403935,0.1041667,A
2020-01-12 18:40:00,0.1258681,0.1209124,A
2020-01-12 19:00:00,0.09293015,0.1012731,A
2020-01-12 19:20:00,0.1243508,0.1302083,A
2020-01-12 19:40:00,0.09403935,0.1012731,A
2020-01-12 20:00:00,0.09982639,0.1070602,A
2020-01-12 20:20:00,0.1274188,0.1186343,A
2020-01-12 20:40:00,0.09693287,0.1041667,A
2020-01-12 21:00:00,0.1331019,0.1302083,A
2020-01-12 21:20:00,0.09403935,0.1012731,A
2020-01-12 21:40:00,0.1318987,0.1302083,A
2020-01-12 22:00:00,0.09263839,0.1012731,A
2020-01-12 22:20:00,0.09943531,0.1149181,A
2020-01-12 22:40:00,0.1287616,0.1157436,A
2020-01-12 23:00:00,0.1041667,0.1070602,A
2020-01-12 23:20:00,0.1215278,0.1107214,A
2020-01-12 23:40:00,0.09693287,0.1041667,A
2020-01-13 00:00:00,0.1374421,0.1331019,A
2020-01-13 00:20:00,0.0954861,0.1041667,A
2020-01-13 00:40:00,0.1366662,0.1359954,A
2020-01-13 01:00:00,0.0954861,0.1018179,A
2020-01-13 01:20:00,0.1041667,0.1070602,A
2020-01-13 01:40:00,0.1287616,0.1128472,A
2020-01-13 02:00:00,0.09693287,0.1041667,A
2020-01-13 02:20:00,0.1374421,0.1331019,A
2020-01-13 02:40:00,0.09693287,0.1012731,A
2020-01-13 03:00:00,0.1403356,0.1359954,A
2020-01-13 03:20:00,0.0954861,0.1041667,A
2020-01-13 03:40:00,0.106962,0.1157407,A
2020-01-13 04:00:00,0.1331019,0.1186343,A
2020-01-13 04:20:00,0.09693287,0.1041667,A
2020-01-13 04:40:00,0.1302083,0.1273148,A
2020-01-13 05:00:00,0.09403935,0.1012731,A
2020-01-13 05:20:00,0.1359954,0.1302083,A
2020-01-13 05:40:00,0.09403935,0.1012731,A
2020-01-13 06:00:00,0.1114005,0.1221656,A
2020-01-13 06:20:00,0.1072494,0.1012731,A
2020-01-13 06:40:00,0.09693287,0.1070602,A
2020-01-13 07:00:00,0.1278593,0.1181957,A
2020-01-13 07:20:00,0.09718791,0.1070602,A
2020-01-13 07:40:00,0.09693287,0.1041667,A
2020-01-13 08:00:00,0.1374421,0.1302083,A
2020-01-13 08:20:00,0.09403935,0.1012731,A
2020-01-13 08:40:00,0.1186343,0.1302083,A
2020-01-13 09:20:00,0.09693287,0.1070602,A
2020-01-13 09:40:00,0.1316551,0.1273148,A
2020-01-13 10:00:00,0.09403935,0.1012731,A
2020-01-13 10:20:00,0.1309123,0.1302083,A
2020-01-13 10:40:00,0.09403935,0.1012731,A
2020-01-13 11:00:00,0.09982639,0.1070602,A
2020-01-13 11:20:00,0.1201197,0.1065685,A
2020-01-13 11:40:00,0.09693287,0.1041667,A
2020-01-13 12:00:00,0.1316551,0.1302083,A
2020-01-13 12:20:00,0.09403935,0.1041667,A
2020-01-13 12:40:00,0.1331019,0.1331019,A
2020-01-13 13:00:00,0.09403935,0.1012731,A
2020-01-13 13:40:00,0.1077895,0.1041667,A
2020-01-13 14:00:00,0.09693287,0.1041667,A
2020-01-13 14:20:00,0.1331019,0.1311861,A
2020-01-13 14:40:00,0.09403935,0.1041667,A
2020-01-13 15:00:00,0.1432292,0.1359954,A
2020-01-13 15:20:00,0.09259259,0.1041667,A
2020-01-13 15:40:00,0.1201172,0.1359954,A
2020-01-13 16:00:00,0.09779692,0.1041667,A
2020-01-13 16:20:00,0.09875502,0.1070602,A
2020-01-13 16:40:00,0.1419291,0.1380972,A
2020-01-13 17:00:00,0.09259259,0.1012731,A
2020-01-13 17:20:00,0.1493279,0.1417824,A
2020-01-13 17:40:00,0.09403935,0.1012731,A
2020-01-13 18:00:00,0.1063902,0.1215278,A
2020-01-13 18:20:00,0.1432292,0.1273148,A
2020-01-13 18:40:00,0.1487353,0.1446759,A
2020-01-13 19:00:00,0.1475694,0.1417824,A
2020-01-13 19:20:00,0.1114005,0.1254005,A
2020-01-13 19:40:00,0.144541,0.1331019,A
2020-01-13 20:00:00,0.09403935,0.1012731,A
2020-01-13 20:40:00,0.09259259,0.1012731,A
2020-01-13 21:00:00,0.1186343,0.1303714,A
